sku_id,nombre,marca,categoria,cat_principal,precio_actual,precio_regular,fecha
245453,Jugo De Limón Minerva X1 Lt,MINERVA,Jugos de Limón,Almacén,6200.0,6200.0,2026-02-20
6469,Jugo De Limón Minerva 500 Ml,MINERVA,Jugos de Limón,Almacén,3350.0,3350.0,2026-02-20
248605,Jugo De Limon Minerva 250 Ml,MINERVA,Jugos de Limón,Almacén,2100.0,2100.0,2026-02-20
6956,Jugo De Limon Menoyo 250 Ml.,MENOYO,Jugos de Limón,Almacén,1600.0,1600.0,2026-02-20
26687,Jugo De Limón Dos Anclas 1 L,DOS ANCLAS,Jugos de Limón,Almacén,4450.0,4450.0,2026-02-20
22562,Jugo De Limón Monte Alto 1 L,PORTA,Jugos de Limón,Almacén,2800.0,2800.0,2026-02-20
343497,Jugo De Limon Favinco 1 L,FAVINCO,Jugos de Limón,Almacén,2800.0,2800.0,2026-02-20
26684,Jugo De Limón Dos Anclas 500 Ml,DOS ANCLAS,Jugos de Limón,Almacén,2500.0,2500.0,2026-02-20
225757,Jugo Menoyo De Limón   Pet 500 Cc.,MENOYO,Jugos de Limón,Almacén,2150.0,2150.0,2026-02-20
343495,Jugo De Limon Favinco 500 Ml,FAVINCO,Jugos de Limón,Almacén,2000.0,2000.0,2026-02-20
22575,Jugo De Limón Monte Alto 500 Ml,PORTA,Jugos de Limón,Almacén,1900.0,1900.0,2026-02-20
386920,Ketchup Ahumado 400 Gr Marian Arytza,MARIAN ARYTZA,Ketchup,Almacén,8750.0,8750.0,2026-02-20
16754,Aderezo Ketchup Heinz Rocket Up Side Down 397 Gr.,HEINZ,Ketchup,Almacén,7700.0,7700.0,2026-02-20
249460,Ketchup Heinz 397 Gr,HEINZ,Ketchup,Almacén,5990.0,5990.0,2026-02-20
352159,Ketchup Hellmann's Regular Doypack 500 Gr,HELLMANN´S,Ketchup,Almacén,4200.0,4200.0,2026-02-20
1370018,Salsa Spicy Ketchup Kansas 295 Gr,KANSAS,Ketchup,Almacén,3700.0,3700.0,2026-02-20
295234,Ketchup Heinz Doy-pack 190gr,HEINZ,Ketchup,Almacén,3590.0,3590.0,2026-02-20
1370017,Salsa Ketchup Kansas 295 Gr,KANSAS,Ketchup,Almacén,3550.0,3550.0,2026-02-20
36047,Ketchup Natura 500 Gr,NATURA,Ketchup,Almacén,2950.0,2950.0,2026-02-20
350080,Ketchup Hellmann's Regular Doypack 250 Gr,HELLMANN´S,Ketchup,Almacén,2500.0,2500.0,2026-02-20
30314,Ketchup La Campagnola 250 Gr,LA CAMPAGNOLA,Ketchup,Almacén,1800.0,1800.0,2026-02-20
3070412,Ketchup Americano 252 Gr Lc Arcor,LA CAMPAGNOLA,Ketchup,Almacén,1800.0,1800.0,2026-02-20
30102,Ketchup Hot La Campagnola 250 Gr,LA CAMPAGNOLA,Ketchup,Almacén,1800.0,1800.0,2026-02-20
26795,Aderezo Ketchup Natura 250 Gr,NATURA,Ketchup,Almacén,1500.0,1500.0,2026-02-20
400248,Ketchup Danica 220 Gr,DANICA,Ketchup,Almacén,1400.0,1400.0,2026-02-20
318359,Salsa Bbq Heinz Classic Sweet & Thick 606gr,HEINZ,Ketchup,Almacén,17950.0,17950.0,2026-02-20
3896,Ketchup Mutti 340 Gr,MUTTI,Ketchup,Almacén,15150.0,15150.0,2026-02-20
381707,Ketchup Con Ipa 295 Gr Pampa Gourmet,Pampa Gourmet,Ketchup,Almacén,8000.0,8000.0,2026-02-20
339806,Ketchup Orgánico 285 Gr Pampa Gourmet,Pampa Gourmet,Ketchup,Almacén,6700.0,6700.0,2026-02-20
350079,Ketchup Hellmanns 400 Gr,HELLMANN´S,Ketchup,Almacén,6100.0,6100.0,2026-02-20
319006,Ketchup Kansas 465 Gr,KANSAS,Ketchup,Almacén,4250.0,4250.0,2026-02-20
389090,Spicy Ketchup Kansas 465 Gr,KANSAS,Ketchup,Almacén,3900.0,3900.0,2026-02-20
318841,Honey Ketchup Aleluya 350g,ALELUYA,Ketchup,Almacén,3700.0,3700.0,2026-02-20
389080,Curry Ketchup Kansas 465 Gr,KANSAS,Ketchup,Almacén,3600.0,3600.0,2026-02-20
1368623,Ketchup Spicy 295 Grs Cuisine & Co,Cuisine & CO,Ketchup,Almacén,3569.49,3569.49,2026-02-20
318827,Honey Ketchup Aleluya 200 Gr,ALELUYA,Ketchup,Almacén,2150.0,2150.0,2026-02-20
339379,Ketchup  Hellmann's  Regular  400 G,HELLMANN´S,Ketchup,Almacén,850.0,850.0,2026-02-20
337850,Ketchup Santa Maria X 330gr,SANTA MARIA,Ketchup,Almacén,544.49,544.49,2026-02-20
3079326,Ketchup X 50 Grs Danica,DANICA,Ketchup,Almacén,500.0,500.0,2026-02-20
320535,Ketchup  Hellmann's  Regular  500 G,HELLMANN´S,Ketchup,Almacén,500.0,500.0,2026-02-20
316871,Ketchup Danica 220g,DANICA,Ketchup,Almacén,350.0,350.0,2026-02-20
408249,Salsa Golf  Hellmanns 250 Gr,HELLMANN´S,Salsas Golf,Almacén,2750.0,2750.0,2026-02-20
26804,Salsa Golf Natura 250 Gr,NATURA,Salsas Golf,Almacén,1550.0,1550.0,2026-02-20
394984,Salsa Golf Danica 209 Gr,DANICA,Salsas Golf,Almacén,1500.0,1500.0,2026-02-20
389079,Salsa Golf Kansas 420 Gr,KANSAS,Salsas Golf,Almacén,3900.0,3900.0,2026-02-20
384486,Salsa Golf Sin Tacc Hellmanns 250 Gr,HELLMANN´S,Salsas Golf,Almacén,600.0,600.0,2026-02-20
262385,Salsa Golf Hellmann's Sin Atributo Sin Atributo Sin Atributo Sin Atributo,HELLMANN´S,Salsas Golf,Almacén,18.05,18.05,2026-02-20
3072891,Vinagre Orgánico De Sidra De Manzana X 473 Ml Bragg,BRAGG,Vinagres,Almacén,25550.0,25550.0,2026-02-20
3072898,Refresco Orgánico De Vinagre Jengibre Limón X 473 Ml Bragg,BRAGG,Vinagres,Almacén,19500.0,19500.0,2026-02-20
